1/1/2020,38,55
1/2/2020,36,67
1/3/2020,33,59
1/4/2020,37,59
1/5/2020,38,63
1/6/2020,36,58
1/7/2020,30,53
1/8/2020,41,50
1/9/2020,37,53
1/10/2020,32,55
1/11/2020,42,61
1/12/2020,37,57
1/13/2020,39,58
1/14/2020,38,57
1/15/2020,31,51
1/16/2020,39,58
1/17/2020,34,47
1/18/2020,35,54
1/19/2020,36,48
1/20/2020,39,53
1/21/2020,38,58
1/22/2020,42,60
1/23/2020,42,57
1/24/2020,41,60
1/25/2020,46,62
1/26/2020,54,67
1/27/2020,50,64
1/28/2020,49,62
1/29/2020,46,69
1/30/2020,43,67
1/31/2020,39,67
2/1/2020,42,67
2/2/2020,43,59
2/3/2020,40,55
2/4/2020,38,57
2/5/2020,33,63
2/6/2020,33,67
2/7/2020,33,65
2/8/2020,34,64
2/9/2020,48,62
2/10/2020,52,73
2/11/2020,44,76
2/12/2020,35,68
2/13/2020,34,65
2/14/2020,38,66
2/15/2020,37,66
2/16/2020,49,67
2/17/2020,53,71
2/18/2020,44,67
2/19/2020,36,67
2/20/2020,39,67
2/21/2020,40,74
2/22/2020,43,76
2/23/2020,42,64
2/24/2020,38,75
2/25/2020,47,77
2/26/2020,40,75
2/27/2020,43,77
2/28/2020,43,74
2/29/2020,50,69
3/1/2020,46,62
3/2/2020,50,72
3/3/2020,46,81
3/4/2020,41,77
3/5/2020,40,74
3/6/2020,43,63
3/7/2020,38,60
3/8/2020,36,58
3/9/2020,47,66
3/10/2020,40,76
3/11/2020,41,73
3/12/2020,45,81
3/13/2020,44,68
3/14/2020,45,55
3/15/2020,44,55
3/16/2020,39,49
3/17/2020,41,55
3/18/2020,43,53
3/19/2020,36,61
3/20/2020,35,64
3/21/2020,39,66
3/22/2020,40,69
3/23/2020,45,65
3/24/2020,40,58
3/25/2020,36,57
3/26/2020,34,61
3/27/2020,35,63
3/28/2020,46,58
3/29/2020,46,62
3/30/2020,45,67
3/31/2020,52,72
4/1/2020,46,66
4/2/2020,46,69
4/3/2020,40,67
4/4/2020,42,57
4/5/2020,45,56
4/6/2020,40,59
4/7/2020,42,66
4/8/2020,44,64
4/9/2020,49,64
4/10/2020,51,73
4/11/2020,47,72
4/12/2020,47,75
4/13/2020,48,77
4/14/2020,51,80
4/15/2020,43,81
4/16/2020,49,80
4/17/2020,50,73
4/18/2020,49,70
4/19/2020,42,72
4/20/2020,49,70
4/21/2020,45,78
4/22/2020,49,77
4/23/2020,59,84
4/24/2020,54,90
4/25/2020,63,89
4/26/2020,56,85
4/27/2020,53,85
4/28/2020,61,89
4/29/2020,57,84
4/30/2020,62,82
5/1/2020,53,83
5/2/2020,57,73
5/3/2020,49,77
5/4/2020,48,82
5/5/2020,48,83
5/6/2020,51,85
5/7/2020,53,83
5/8/2020,52,93
5/9/2020,51,91
5/10/2020,52,82
5/11/2020,49,71
5/12/2020,52,85
5/13/2020,54,86
5/14/2020,50,70
5/15/2020,56,79
5/16/2020,60,79
5/17/2020,55,85
5/18/2020,52,69
5/19/2020,51,73
5/20/2020,47,76
5/21/2020,53,83
5/22/2020,52,78
5/23/2020,58,87
5/24/2020,53,92
5/25/2020,57,96
5/26/2020,63,101
5/27/2020,66,100
5/28/2020,58,101
5/29/2020,57,89
5/30/2020,62,76
5/31/2020,58,79
6/1/2020,60,86
6/2/2020,60,95
6/3/2020,63,100
6/4/2020,60,98
6/5/2020,58,82
